Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,
0,obj1-val1,1,0,1.0,357.40506329113924,365.60759493670884,1.3670886075949367,357.40506329113924,365.60759493670884,1.3670886075949367,79.0,1.0,1.0,1.0,
1,obj2-val2,2,0,2.0,403.0289855072464,244.28985507246378,1.2173913043478262,403.0289855072464,244.28985507246378,1.2173913043478262,138.0,2.0,2.0,2.0,
2,obj3-val3,3,0,3.0,66.0,47.65384615384615,1.5384615384615385,66.0,47.65384615384615,1.5384615384615385,78.0,3.0,3.0,3.0,
3,obj4-val4,4,0,4.0,365.04347826086956,273.7391304347826,3.8260869565217392,365.04347826086956,273.7391304347826,3.8260869565217392,92.0,4.0,4.0,4.0,
4,obj5-val5,5,0,5.0,125.9090909090909,300.09090909090907,3.9696969696969697,125.9090909090909,300.09090909090907,3.9696969696969697,165.0,5.0,5.0,5.0,
5,obj6-val6,6,0,6.0,169.55555555555554,313.9259259259259,3.925925925925926,169.55555555555554,313.9259259259259,3.925925925925926,162.0,6.0,6.0,6.0,
6,obj7-val7,7,0,7.0,371.3529411764706,270.72549019607845,6.392156862745098,371.3529411764706,270.72549019607845,6.392156862745098,357.0,7.0,7.0,7.0,
7,obj8-val8,8,0,8.0,118.07692307692308,299.61538461538464,4.8076923076923075,118.07692307692308,299.61538461538464,4.8076923076923075,208.0,8.0,8.0,8.0,
8,obj9-val9,9,0,9.0,236.28571428571428,419.14285714285717,5.428571428571429,236.28571428571428,419.14285714285717,5.428571428571429,189.0,9.0,9.0,9.0,
9,obj10-val10,10,0,10.0,61.431372549019606,50.64705882352941,5.529411764705882,61.431372549019606,50.64705882352941,5.529411764705882,510.0,10.0,10.0,10.0,
10,obj11-val11,11,0,11.0,389.9130434782609,384.4347826086956,7.956521739130435,389.9130434782609,384.4347826086956,7.956521739130435,506.0,11.0,11.0,11.0,
11,obj12-val12,12,0,12.0,274.8181818181818,385.6818181818182,8.318181818181818,274.8181818181818,385.6818181818182,8.318181818181818,264.0,12.0,12.0,12.0,
12,obj13-val13,13,0,13.0,389.2,392.68,7.32,389.2,392.68,7.32,325.0,13.0,13.0,13.0,
13,obj14-val14,14,0,14.0,388.2608695652174,387.69565217391306,9.217391304347826,388.2608695652174,387.69565217391306,9.217391304347826,966.0,14.0,14.0,14.0,
